1,ICBC
2,JPMorgan Chase
3,China Construction Bank
4,Agricultural Bank of China
5,Bank of America
6,Apple
7,Ping An Insurance Group
8,Bank of China
9,Royal Dutch Shell
10,Wells Fargo
11,ExxonMobil
12,AT&T
13,Samsung Electronics
14,Citigroup
15,Toyota Motor
16,Microsoft
17,Alphabet
18,Volkswagen Group
19,Chevron
20,Verizon Communications
21,HSBC Holdings
22,PetroChina
23,Allianz
24,BP
25,Total
26,Berkshire Hathaway
27,China Mobile
28,Amazon
29,Walmart
30,Santander
31,China Merchants Bank
32,UnitedHealth Group
33,Comcast
34,BNP Paribas
35,Sinopec
36,Softbank
37,Daimler
38,Johnson & Johnson
39,Bank of Communications
40,Gazprom
41,RBC
42,Nestlé
43,Mitsubishi UFJ Financial
44,Intel
45,Goldman Sachs Group
46,TD Bank Group
47,Sberbank
48,Morgan Stanley
49,Boeing
50,Petrobras
51,Nippon Telegraph & Tel
52,Rosneft
53,Procter & Gamble
54,Pfizer
55,Industrial Bank
56,General Motors
57,BMW Group
58,Itaú Unibanco Holding
59,Alibaba
60,IBM
61,Novartis
62,Postal Savings Bank Of China (PSBC)
63,Facebook
64,Siemens
65,Shanghai Pudong Development
66,Japan Post Holdings
67,Sumitomo Mitsui Financial
68,Banco Bradesco
69,Anheuser-Busch InBev
70,Walt Disney
71,Reliance Industries
72,CITIC
73,Sony
74,Cisco Systems
75,Tencent Holdings
76,Honda Motor
77,Enel
78,United Technologies
79,Commonwealth Bank
80,China State Construction Engineering
81,DowDuPont
82,Equinor
83,American Express
84,MetLife
85,AXA Group
86,PepsiCo
87,Bank of Nova Scotia
88,Roche Holding
89,ING Group
90,Lloyds Banking Group
91,Eni
92,Oracle
93,China Citic Bank
94,China Evergrande Group
95,UBS
96,AIRBUS
97,LukOil
98,Prudential Financial
99,BASF
100,SAIC Motor
101,Westpac Banking Group
102,British American Tobacco
103,US Bancorp
104,Credit Agricole
105,China Life Insurance
106,Unilever
107,Glencore International
108,Mitsubishi
109,BHP Group
110,Ford Motor
111,Rio Tinto
112,Prudential
113,AIA Group
114,China Minsheng Banking
115,Sanofi
116,Deutsche Telekom
117,Zurich Insurance Group
118,Brookfield Asset Management
119,Merck & Co.
120,ANZ
121,Caterpillar
122,Saudi Basic Industries
123,Hon Hai Precision
124,China Vanke
125,Mizuho Financial
126,CNOOC
127,Home Depot
128,Taiwan Semiconductor
129,Country Garden Holdings
130,Capital One Financial
131,Intesa Sanpaolo
132,Nissan Motor
133,Coca-Cola
134,Bank of Montreal
135,BBVA-Banco Bilbao Vizcaya
136,Walgreens Boots Alliance
137,Chubb
138,NAB - National Australia Bank
139,Vale
140,China Pacific Insurance
141,Anthem
142,Telefónica
143,Christian Dior
144,Generali Group
145,Iberdrola
146,PNC Financial Services
147,GlaxoSmithKline
148,Munich Re
149,Cigna
150,Medtronic
151,China Everbright Bank
152,China Shenhua Energy
153,Honeywell International
154,Banco do Brasil
155,People's Insurance
156,UniCredit
157,CK Hutchison
158,Société Générale
159,ConocoPhillips
160,United Parcel Service
161,VINCI
162,Visa
163,Tokio Marine Holdings
164,Bayer
165,PTT PCL
166,Manulife
167,AbbVie
168,China Telecom
169,Phillips 66
170,KDDI
171,Fiat Chrysler Automobiles
172,Marathon Petroleum
173,Costco Wholesale
174,Enbridge
175,Amgen
176,SAP
177,Bank of New York Mellon
178,Broadcom
179,SK Hynix
180,China Communications Construction
181,Lockheed Martin
182,Itochu
183,Duke Energy
184,FedEx
185,Royal Bank of Scotland
186,Orange
187,Barclays
188,Union Pacific
189,América Móvil
190,Canadian Imperial Bank
191,Credit Suisse Group
192,Synchrony Financial
193,NextEra Energy
194,Deere & Company
195,ArcelorMittal
196,Mitsui
197,Abbott Laboratories
198,China Railway Group
199,Gilead Sciences
200,China Railway Construction
201,L'Oréal
202,Exelon
203,Delta Air Lines
204,Renault
205,Charter Communications
206,Micron Technology
207,Qatar National Bank
208,Deutsche Post
209,HDFC Bank
210,Altria Group
211,Valero Energy
212,Philip Morris International
213,DBS
214,BlackRock
215,Southern Company
216,3M
217,Schlumberger
218,Peugeot
219,Linde
220,Oil & Natural Gas
221,Dai-ichi Life Insurance
222,Thermo Fisher Scientific
223,Aflac
