,rank,name,q
0,1,ICBC,Q26463
1,2,JPMorgan Chase,Q192314
2,3,China Construction Bank,Q26299
3,4,Agricultural Bank of China,Q26298
4,5,Bank of America,Q487907
5,6,Apple,Q312
6,7,Ping An Insurance Group,
7,8,Bank of China,Q790068
8,9,Royal Dutch Shell,Q154950
9,10,Wells Fargo,Q744149
10,11,ExxonMobil,Q156238
11,12,AT&T,Q40
12,13,Samsung Electronics,Q20718
13,14,Citigroup,Q219508
14,15,Toyota Motor,Q53268
15,16,Microsoft,Q2283
16,17,Alphabet,Q9779
17,18,Volkswagen Group,Q156578
18,19,Chevron,Q319642
19,20,Verizon Communications,Q467752
20,21,HSBC Holdings,Q190464
21,22,PetroChina,Q503182
22,23,Allianz,Q487292
23,24,BP,Q131755
24,25,Total,Q154037
25,26,Berkshire Hathaway,Q217583
26,27,China Mobile,Q741618
27,28,Amazon,Q3884
28,29,Walmart,Q483551
29,30,Santander,Q12233
30,31,China Merchants Bank,Q1073327
31,32,UnitedHealth Group,Q2103926
32,33,Comcast,Q1113804
33,34,BNP Paribas,Q499707
34,35,Sinopec,Q831445
35,36,Softbank,Q201653
36,37,Daimler,Q27530
37,38,Johnson & Johnson,Q1158485
38,39,Bank of Communications,Q806680
39,40,Gazprom,Q102673
40,41,RBC,Q37187
41,42,Nestlé,Q160746
42,43,Mitsubishi UFJ Financial,Q1542175
43,44,Intel,Q248
44,45,Goldman Sachs Group,Q193326
45,46,TD Bank Group,
46,47,Sberbank,Q205012
47,48,Morgan Stanley,Q334204
48,49,Boeing,Q66
49,50,Petrobras,Q210047
50,51,Nippon Telegraph & Tel,Q1054787
51,52,Rosneft,Q1141123
52,53,Procter & Gamble,Q520045
53,54,Pfizer,Q206921
54,55,Industrial Bank,Q1410821
55,56,General Motors,Q81965
56,57,BMW Group,Q28228065
57,58,Itaú Unibanco Holding,Q1424293
58,59,Alibaba,Q1359568
59,60,IBM,Q37156
60,61,Novartis,Q507154
61,62,Postal Savings Bank Of China (PSBC),
62,63,Facebook,Q355
63,64,Siemens,Q81230
64,65,Shanghai Pudong Development,Q1479076
65,66,Japan Post Holdings,Q1372049
66,67,Sumitomo Mitsui Financial,Q2094989
67,68,Banco Bradesco,Q806181
68,69,Anheuser-Busch InBev,Q128738
69,70,Walt Disney,Q7414
70,71,Reliance Industries,Q908931
71,72,CITIC,Q856322
72,73,Sony,Q41187
73,74,Cisco Systems,Q173395
74,75,Tencent Holdings,Q860580
75,76,Honda Motor,Q9584
76,77,Enel,Q651222
77,78,United Technologies,Q1045758
78,79,Commonwealth Bank,Q285328
79,80,China State Construction Engineering,Q1073519
80,81,DowDuPont,Q38589917
81,82,Equinor,Q1776022
