,rank,name,q,country
0,1,ICBC,Q26463,People's Republic of China
1,2,JPMorgan Chase,Q192314,United States of America
2,3,China Construction Bank,Q26299,People's Republic of China
3,4,Agricultural Bank of China,Q26298,People's Republic of China
4,5,Bank of America,Q487907,United States of America
5,6,Apple,Q312,United States of America
6,7,Ping An Insurance Group,,
7,8,Bank of China,Q790068,People's Republic of China
8,9,Royal Dutch Shell,Q154950,Netherlands
9,10,Wells Fargo,Q744149,United States of America
10,11,ExxonMobil,Q156238,United States of America
11,12,AT&T,Q40,Austria
12,13,Samsung Electronics,Q20718,South Korea
13,14,Citigroup,Q219508,United States of America
14,15,Toyota Motor,Q53268,Japan
15,16,Microsoft,Q2283,United States of America
16,17,Alphabet,Q9779,
17,18,Volkswagen Group,Q156578,Germany
18,19,Chevron,Q319642,United States of America
19,20,Verizon Communications,Q467752,United States of America
20,21,HSBC Holdings,Q190464,United Kingdom
21,22,PetroChina,Q503182,People's Republic of China
22,23,Allianz,Q487292,Germany
23,24,BP,Q131755,
24,25,Total,Q154037,France
25,26,Berkshire Hathaway,Q217583,United States of America
26,27,China Mobile,Q741618,People's Republic of China
27,28,Amazon,Q3884,United States of America
28,29,Walmart,Q483551,United States of America
29,30,Santander,Q12233,Spain
30,31,China Merchants Bank,Q1073327,People's Republic of China
31,32,UnitedHealth Group,Q2103926,United States of America
32,33,Comcast,Q1113804,United States of America
33,34,BNP Paribas,Q499707,France
34,35,Sinopec,Q831445,People's Republic of China
35,36,Softbank,Q201653,Japan
36,37,Daimler,Q27530,Germany
37,38,Johnson & Johnson,Q1158485,
38,39,Bank of Communications,Q806680,People's Republic of China
39,40,Gazprom,Q102673,Russia
40,41,RBC,Q37187,
41,42,Nestlé,Q160746,Switzerland
42,43,Mitsubishi UFJ Financial,Q1542175,Japan
43,44,Intel,Q248,United States of America
44,45,Goldman Sachs Group,Q193326,United States of America
45,46,TD Bank Group,,
46,47,Sberbank,Q205012,Russia
47,48,Morgan Stanley,Q334204,United States of America
48,49,Boeing,Q66,United States of America
49,50,Petrobras,Q210047,Brazil
50,51,Nippon Telegraph & Tel,Q1054787,Japan
51,52,Rosneft,Q1141123,
52,53,Procter & Gamble,Q520045,
53,54,Pfizer,Q206921,United States of America
54,55,Industrial Bank,Q1410821,People's Republic of China
55,56,General Motors,Q81965,United States of America
56,57,BMW Group,Q28228065,
57,58,Itaú Unibanco Holding,Q1424293,Brazil
58,59,Alibaba,Q1359568,People's Republic of China
59,60,IBM,Q37156,United States of America
60,61,Novartis,Q507154,Switzerland
61,62,Postal Savings Bank Of China (PSBC),,
62,63,Facebook,Q355,United States of America
63,64,Siemens,Q81230,Germany
64,65,Shanghai Pudong Development,Q1479076,People's Republic of China
65,66,Japan Post Holdings,Q1372049,Japan
66,67,Sumitomo Mitsui Financial,Q2094989,Japan
67,68,Banco Bradesco,Q806181,Brazil
68,69,Anheuser-Busch InBev,Q128738,Belgium
69,70,Walt Disney,Q7414,United States of America
70,71,Reliance Industries,Q908931,India
71,72,CITIC,Q856322,People's Republic of China
72,73,Sony,Q41187,Japan
73,74,Cisco Systems,Q173395,United States of America
74,75,Tencent Holdings,Q860580,People's Republic of China
75,76,Honda Motor,Q9584,Japan
76,77,Enel,Q651222,Italy
77,78,United Technologies,Q1045758,United States of America
78,79,Commonwealth Bank,Q285328,Australia
79,80,China State Construction Engineering,Q1073519,People's Republic of China
80,81,DowDuPont,Q38589917,
81,82,Equinor,Q1776022,Norway
82,83,American Express,Q194360,United States of America
83,84,MetLife,Q607131,United States of America
